Key,Type,Desc,English,Chinese
Active,Text,,Active,开启
Add Child,Text,,Add Child,添加孩子
Add Perk,Text,,Add Perk,添加额外
Add Spouse,Text,,Add Spouse,添加配偶
Add Worker,Text,,Add Worker,添加工人
Age,Text,,Age,年龄
Aggressive,Text,,Aggressive,侵略性
All,Text,,All,所有
All selected plants will be destroyed immediately.,Text,,All selected plants will be destroyed immediately.,所选植物将被立即摧毁
Alpha,Text,,Alpha,数字键
Are you sure? Progress since your last save will be lost.,Text,,Are you sure? Progress since your last save will be lost.,自上次保存以后的进度将丢失，您确定吗？
Arms,Text,,Arms,武器
Assigned,Text,,Assigned,分配
Attack speed,Text,,Attack speed,攻击速度
Attitude,Text,,Attitude,态度
Audio,Text,,Audio,声音
Back,Text,,Back,返回
Bag Size,Text,,Bag Size,背包尺寸
Base,Text,,,
Bases,Text,,Bases,基地
Beds,Text,,Beds,床
Behaviour,Text,,Behaviour,行为
Big,Text,,Big,大
Blood,Text,,Blood,血
Blunt Damage,Text,,Blunt Damage,钝伤
Body,Text,,Body,身体
Build on top of existing terrain or right click to remove build wall orders.,Text,,Build on top of existing terrain or right click to remove build wall orders.,在现有地形上建造或单击右键来移除建造墙的命令。
BuildingInfo/Animal Pen,Text,,Animal Pen,动物畜栏
BuildingInfo/Animal Pen__tooltip,Text,,Animal breeders use the animal pen to tame and care for livestock.,伺养者利用动物畜栏来驯养和照料牲畜。
BuildingInfo/Ballista,Text,,Ballista,弩炮
BuildingInfo/Ballista__tooltip,Text,,Fires bolts at approaching enemies. Must be manned by a colonist and supplied with ballista bolts.,以向接近的敌人发射螺栓。必须由殖民者操控并提供螺栓。
BuildingInfo/Bed,Text,,Bed,床
BuildingInfo/Bed__tooltip,Text,,Wooden bed built for maximum comfort and pleasure. Higher quality beds improve mood and recover energy faster.,舒适的木床可以提高满意度。高质量的床可以改善心情，更快地恢复精力。
BuildingInfo/Blacksmith,Text,,Blacksmith,铁匠
BuildingInfo/Blacksmith__tooltip,Text,,For crafting armour and weapons using metal,铁匠能够使用金属来制造盔甲和武器。
BuildingInfo/Bookshelf,Text,,Bookshelf,书架
BuildingInfo/Bookshelf__tooltip,Text,,Bookshelves provide entertainment and allow skilled workers to teach others. Paper is required to write books.,书架能够提供娱乐，并允许传授高熟练度技能。编写书籍需要消耗纸张。
BuildingInfo/Bowyer,Text,,Bowyer,制弓匠
BuildingInfo/Bowyer__tooltip,Text,,For crafting ranged weapons and their ammunition.,制弓匠能够制作远程武器及其弹药。
BuildingInfo/Burning Oil,Text,,Burning Oil,燃烧的油
BuildingInfo/Burning Oil__tooltip,Text,,Defensive building,防御性建筑
BuildingInfo/Campfire,Text,,Campfire,营火
BuildingInfo/Campfire__tooltip,Text,,Quick source of heat.,快速的热源
BuildingInfo/Carpenter's Workshop,Text,,Carpenter's Workshop,木工台
BuildingInfo/Carpenter's Workshop__tooltip,Text,,For processing of raw logs into planks and other wooden items,木工台可将原木加工成木板及其他木制品。
BuildingInfo/Catapult,Text,,Catapult,石弩
BuildingInfo/Catapult__tooltip,Text,,Fires rocks at approaching enemies in a high arc. Must be manned by a colonist and supplied with blocks.,以高角度向接近的敌人发射石块。必须由殖民者操控并提供石块。
BuildingInfo/Chair,Text,,Chair,椅子
BuildingInfo/Chair__tooltip,Text,,Wooden or stone chair,木制或石制椅子
BuildingInfo/Chest,Text,,Chest,箱子
BuildingInfo/Chest__tooltip,Text,,Workers will store unused equipment and tools here,工人将闲置的设备和工具存放在这里。
BuildingInfo/Crafter's Workshop,Text,,Crafter's Workshop,制作台
BuildingInfo/Crafter's Workshop__tooltip,Text,,Crafter's assemble processed items into tools and weapons here.,工匠将加工过的物品在这里组装成工具和武器。
BuildingInfo/Curtain,Text,,Curtain,窗帘
